"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"1016489",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,77,NA,89,152,25,144,72,0.473684,0,72,72,72,0,"F","2","3140","33936",31,"1"
"1016568",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,77,NA,89,152,25,144,72,0.473684,0,72,72,72,0,"F","1","2980","0",23,"1"
"1016574",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,77,NA,89,152,25,144,72,0.473684,0,72,72,72,0,"F","7","9140","69498",47,"1"
"1016777",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,53,55,42,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","7","9100","108877",61,"0"
"101693",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5,0,152,192,165,152,16,134.8,134.8,0.8855408,0,0,0,134.6,-0.2,NA,"5","3770","44803",61,"0"
"1017458",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,53,56,24,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","1","2140","14872",61,"1"
"1018138",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,47,56,35,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"M","7","9700","77141",61,"1"
"1018330",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,47,60,27,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","1","2370","19688",61,"1"
"1018685",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,42,46,26,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"M","1","2000","12751",61,"1"
"1019924",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,64,67,54,44,12.5,44.74,27,0.355263,0,17.74,17.74,27,0,"M","5","3630","41743",61,"0"
"1021269",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20,NA,13,152,25,144,88,0.578947,0,56,56,88,0,"M","1","2940","29216",61,"1"
