"Monetary_score","Total_quantity","recency_score","days_customer","churn"
1323.6,65,48,8516,"0"
23172,885,1,8516,"0"
18606,1063,10,8516,"0"
2298.6,137,50,8516,"0"
3327,84,44,8516,"0"
6532,374,1,8516,"0"
1265.4,66,20,8516,"0"
4910,61,48,8516,"0"
10144.4,632,0,8497,"0"
4533,66,21,8497,"0"
4455.6,223,27,8497,"0"
3784,217,21,8497,"0"
401,23,42,8497,"0"
25200.12,3765,8,8497,"0"
908.8,54,7,8497,"0"
2296.8,116,9,8497,"0"
1390,84,2,8497,"0"
1521092.01,130886,1,8497,"0"
97838,6433,0,8497,"0"
10148,530,10,8497,"0"
13463.6,557,6,8497,"0"
21200,1232,0,8497,"0"
12357.4,857,0,8497,"0"
7383,632,13,8497,"0"
15388.8,906,0,8497,"0"
8679.4,489,9,8497,"0"
14660.2,686,0,8497,"0"
9984,449,8,8497,"0"
35390,3100,2,8497,"0"
4676.8,244,49,8497,"0"
1565,24,27,8497,"0"
24587,1516,7,8497,"0"
633,17,56,8497,"0"
5416,321,45,8497,"0"
2821,168,0,8497,"0"
5358,314,8,8497,"0"
8816,362,28,8497,"0"
32211,863,1,8497,"0"
7235.8,385,13,8497,"0"
9441,504,21,8497,"0"
6954.8,282,16,8497,"0"
7798,331,24,8497,"0"
4007,235,36,8497,"0"
4120.6,198,7,8497,"0"
3938,150,13,8497,"0"
12202,230,9,8497,"0"
12000.6,494,7,8497,"0"
33388.94,3491,13,8497,"0"
6550,70,41,8497,"0"
3848,222,7,8497,"0"
12543,843,24,8497,"0"
3166,183,34,8497,"0"
6626.2,227,9,8497,"0"
5560,94,30,8497,"0"
2630,26,6,8497,"0"
1326,57,0,8497,"0"
39795,588,0,8497,"0"
2395,36,3,8497,"0"
50847.2,2663,7,8497,"0"
10989,439,7,8497,"0"
4929,280,3,8497,"0"
6282.2,266,8,8497,"0"
3466,143,10,8497,"0"
5505,84,31,8497,"0"
35870,2432,1,8497,"0"
1136,64,22,8497,"0"
19978,1434,8,8497,"0"
23197,2004,3,8497,"0"
4892,269,9,8497,"0"
16228,736,3,8497,"0"
2096.2,120,44,8497,"0"
1500,21,45,8497,"0"
17621.2,633,1,8497,"0"
2526,147,16,8497,"0"
1569.8,81,31,8497,"0"
9611,517,2,8497,"0"
2656.6,114,43,8497,"0"
6749.37,774,31,8497,"0"
10852,802,8,8497,"0"
4066,218,14,8497,"0"
13154,15174,21,8497,"0"
2568,147,13,8497,"0"
192621,9790,0,8497,"0"
3221,198,27,8497,"0"
3817,218,28,8497,"0"
53990.1,5111,1,8497,"0"
555,32,55,8497,"0"
4733.6,68,30,8497,"0"
5353,301,44,8497,"0"
2115,53,28,8497,"0"
5897,166,21,8497,"0"
32210.4,1242,2,8497,"0"
4928,272,50,8497,"0"
4145.8,232,55,8497,"0"
2000,27,3,8497,"0"
12711.2,725,7,8497,"0"
2845,42,27,8497,"0"
8605,100,15,8807,"0"
17945,896,9,9183,"0"
1944,75,1,9192,"0"
35033,833,1,9192,"0"
6980.8,292,1,9192,"0"
4641,233,34,9192,"0"
6257.6,410,22,9190,"0"
29386.6,1483,13,9190,"0"
2381.2,119,38,9192,"0"
17565,266,36,8715,"0"
3074,177,23,9191,"0"
292901.95,16743,0,9191,"0"
683,39,50,9191,"0"
2210,33,21,9159,"0"
10410.8,487,10,9191,"0"
3014,62,7,9190,"0"
16108.2,693,28,9191,"0"
2824,105,30,9191,"0"
16183,677,21,8715,"0"
4716,62,2,9179,"0"
63747.6,946,2,9187,"0"
10653.2,579,9,9187,"0"
3565,72,1,9187,"0"
6287,357,9,9187,"0"
3655,210,48,9187,"0"
2080,75,28,9187,"0"
2990.4,128,23,9187,"0"
2752,101,8,8695,"0"
2453,139,36,9187,"0"
1515,82,28,9187,"0"
3863,218,23,8807,"0"
1105,16,51,9187,"1"
1062,51,8,9019,"0"
5978,95,24,9187,"0"
7770,78,23,9186,"0"
6643,77,49,9107,"0"
9182,109,15,9073,"0"
2925.2,157,35,9186,"0"
8250.35,172,15,9103,"0"
1675,29,1,8623,"0"
12550,166,13,8749,"0"
3106,178,6,9185,"0"
1959,113,56,8504,"1"
1455,83,29,9001,"0"
6243,358,22,9086,"0"
1190,68,22,9185,"0"
3850,205,0,9185,"0"
10136,288,13,9185,"0"
35541.6,801,13,9185,"0"
1662,95,50,9184,"0"
8127,462,23,9184,"0"
1860,39,9,9184,"0"
3980,118,34,9184,"0"
4620,190,37,9184,"0"
6488,347,36,9184,"0"
2800,142,23,9184,"0"
13809,695,1,8780,"0"
6255,73,6,8760,"0"
2357,116,51,9183,"0"
15868.2,525,9,9183,"0"
9524,546,2,9183,"0"
4373,251,35,9183,"0"
14490,158,13,8998,"0"
20969,959,7,9183,"0"
1760.6,98,43,9183,"0"
3380,118,55,9183,"0"
1738,82,22,9183,"0"
2607,149,29,9180,"0"
9585.6,468,2,9180,"0"
2952,149,50,9180,"0"
1978.2,112,57,9180,"0"
2995,108,55,9180,"0"
15750,182,1,9180,"0"
8008,458,42,9180,"0"
4341,242,7,9180,"0"
5905.2,121,2,8760,"0"
49659,1265,0,9660,"0"
11578,397,2,12735,"0"
13161.84,849,10,9660,"0"
2456,142,8,12155,"0"
7038.6,353,48,9235,"0"
24350,485,6,11173,"0"
2972.2,138,0,9660,"0"
9615,432,29,9821,"0"
26532.62,965,14,9522,"0"
2441.6,142,0,8501,"0"
30528.2,981,1,8493,"0"
7770.1,284,56,8480,"0"
2895,36,1,8479,"0"
7232,378,2,8463,"0"
147280.39,16783,2,8459,"0"
27014,321,3,8454,"0"
61105.4,3097,1,8445,"0"
4374,159,13,8436,"0"
4955,52,55,8426,"0"
500,12,1,8423,"0"
26938.65,3649,3,8422,"0"
7084,396,6,8420,"0"
2130,89,10,8408,"0"
4316.4,150,58,8402,"0"
3510,64,31,8398,"0"
1876,153,49,8388,"0"
45015,1869,1,8386,"0"
6122.8,343,50,8378,"0"
3132,55,6,8373,"0"
28694.5,1075,6,8368,"0"
17616.8,381,7,8361,"0"
6550,95,22,8317,"0"
21419.96,479,1,8304,"0"
18981.2,603,16,8246,"0"
3290,45,57,8235,"0"
3853,221,24,8329,"0"
9387,605,24,8297,"0"
48701.55,2224,3,8192,"0"
7931,445,8,8183,"0"
10691,241,8,8332,"0"
3295,39,41,8322,"0"
60666,3344,0,8350,"0"
10402,397,34,8344,"0"
10052,564,0,8337,"0"
46644,1996,7,8337,"0"
7211.2,171,3,8263,"0"
8526,314,1,8261,"0"
47578.4,1984,2,8246,"0"
2492,142,55,8220,"0"
7455,82,15,8192,"0"
58550.2,2665,7,8226,"0"
11941.6,607,9,8203,"0"
6265,93,30,8200,"0"
8147,155,22,8192,"0"
6385,80,3,8158,"0"
1290,30,35,8107,"0"
8015,97,44,8150,"0"
20957,527,0,8140,"0"
55482,1668,0,8155,"0"
6147,316,10,8123,"0"
12256,1105,13,8130,"0"
70858,3954,7,8128,"0"
10939.92,2465,13,8127,"0"
4374,255,16,8120,"0"
4032,233,2,8099,"0"
30428.4,1368,0,8094,"0"
8738.2,331,14,8071,"0"
10052.8,423,0,8071,"0"
4270,74,9,8133,"0"
15512,532,37,8120,"0"
2412,132,44,8107,"0"
57298.2,2974,6,8077,"0"
4590.8,214,27,8067,"0"
97212,10188,2,8066,"0"
8042,462,0,8066,"0"
10141,351,24,8066,"0"
1920.2,110,22,8065,"0"
60168,3074,8,8065,"0"
10675.6,2655,1,8064,"0"
12240,148,20,8064,"0"
2582.4,129,3,8032,"0"
1040,14,16,8023,"0"
7815,744,2,8018,"0"
11260,1126,8,8018,"0"
12768,443,14,8059,"0"
1358,73,52,8059,"0"
2968.2,141,59,8059,"0"
2477,142,49,8059,"0"
6430,77,16,8058,"0"
14592,580,10,8058,"0"
9510,99,2,8058,"0"
7015,78,20,8058,"0"
123828.29,2254,0,8058,"0"
7784,222,35,8058,"0"
5295,54,3,8058,"0"
6917,4702,49,8058,"0"
40500,974,7,8057,"0"
22795.64,5101,10,7960,"0"
5486,113,14,7800,"0"
8600,711,23,7780,"0"
1849,103,14,7745,"0"
15650,350,16,7996,"0"
11620,187,0,7995,"0"
4810,142,0,7982,"0"
8503,487,44,7905,"0"
6816,303,7,10650,"0"
2741,51,6,9589,"0"
69539.4,2432,0,9660,"0"
47883,1824,1,9660,"0"
5869,209,7,8310,"0"
21914.4,943,0,9179,"0"
29413.6,1333,2,9466,"0"
5870.4,303,7,10682,"0"
6758.4,307,0,9660,"0"
4100,55,57,9660,"0"
7067,134,2,9660,"0"
6610,66,43,9660,"0"
151705.97,6823,2,8227,"0"
16110,221,15,9660,"0"
1818,104,28,9660,"0"
37868,1309,0,9660,"0"
20196,348,1,9660,"0"
18782.2,981,21,10629,"0"
3060,40,20,9579,"0"
6371,356,9,10950,"0"
1294,73,37,8052,"0"
3142,180,1,8938,"0"
11873,393,6,11025,"0"
58739.94,2027,8,8402,"0"
3325,52,8,8235,"0"
9330,106,15,9660,"0"
16070,172,28,8235,"0"
6731,358,21,10866,"0"
14390,176,1,8234,"0"
15084.38,695,0,9215,"0"
5612,325,2,10109,"0"
24645.9,468,7,10233,"0"
751,43,22,8234,"0"
18179.8,663,0,10969,"0"
37093,1262,6,9660,"0"
31366,966,6,9660,"0"
14480,575,28,8234,"0"
3779,144,21,9660,"0"
70856.4,2010,6,9660,"0"
19829.6,426,28,10732,"0"
12701.2,643,7,8227,"0"
930.4,51,28,8728,"0"
1460,83,36,8695,"0"
18366.2,750,41,9660,"0"
47798,897,13,8234,"0"
13303.8,741,0,10712,"0"
29041.4,358,1,9355,"0"
48624,2056,2,9519,"0"
756,38,48,9660,"0"
66141,1031,0,10066,"0"
9188.4,368,1,9660,"0"
23206.6,667,1,9184,"0"
43775,1602,0,8234,"0"
8300.43,190,21,8128,"0"
42062.5,1471,6,8128,"0"
22139,892,28,8128,"0"
26418,1227,3,8798,"0"
4942,283,29,8533,"0"
62953.4,789,6,8751,"0"
22500,241,19,9170,"0"
6822.8,84,8,9660,"0"
26802,965,8,9813,"0"
2077,119,30,9660,"0"
1920,110,34,9660,"0"
2416,138,35,9660,"0"
4727.6,273,0,9718,"0"
8784.6,301,13,8109,"0"
8023,120,1,9400,"0"
2021,96,8,9438,"0"
18731,235,29,8234,"0"
10604,314,7,9660,"0"
59667.6,1643,0,9660,"0"
16522,715,29,9660,"0"
36795,440,7,7972,"0"
15690,181,0,8212,"0"
5497.8,90,7,9639,"0"
47843,1254,1,9660,"0"
24420,239,13,8234,"0"
56424.8,1777,0,9660,"0"
3741,186,49,10773,"0"
46592.4,2296,14,8427,"0"
2875,65,6,8234,"0"
1907,109,21,9367,"0"
15405,201,21,8591,"0"
23399,652,6,8532,"0"
11059,399,0,8487,"0"
1864,80,0,8501,"0"
43815,927,1,8233,"0"
6377,114,21,9976,"0"
39655,1167,0,10038,"0"
161329,8743,1,8245,"0"
6072,334,15,7960,"0"
2509,87,42,7945,"0"
1813.2,66,9,9660,"0"
12412,691,7,9040,"0"
4437,254,22,9660,"0"
2305,131,23,9660,"0"
2669,152,21,9660,"0"
1542,87,57,9660,"0"
1049.6,57,6,9116,"0"
5655.4,251,1,9660,"0"
